eng,tha
deprived,ขาดแคลน
viewpoint,มุมมอง
lapse,ความล้มเหลว
impair,ทำให้เสียหาย
profound,significant
crucial,important
spurt,การพุ่ง
to some extent,ได้ถึงระดับหนึ่ง
catch up on,do sth you did not have time for earlier
adolescent,วัยรุ่น
plethora,(a) lot (of)
consequence,ผลลัพธ์
regulate,control
cease,stop
upheaval,violent = sudden disruption
puberty,วัยรุ่น
peculiar,แปลกประหลาด
borne out,confirmed
conducted,carry out = perform = execute = administer = ดำเนินการ
given short shrift,ignored
drop off,start
compromise,put sth in danger เสี่ยง = ประนีประนอม
halt,หยุดชะงัก
temporary,ชั่วคราว
supervision,การควบคุมดูแล
expectancy,ความคาดหวัง
anticipate,คาดการณ์
compliment,คำชม
complement,เสริม
redundant,ซ้ำซ้อน
exorbitant,มากเกินไป
rebel,กบฏ
cope,รับมือ
illustrate,อธิบายด้วยภาพ
optimistic,มองในแง่ดี
insist,ยืนกราน
frobade,ห้าม
fumble,ควานหา
mutter,บ่นพึมพำ
hestitate,ลังเล
pound,ทุบ
upright,ตั้งตรง
bolt,วิ่งหนี
gasp,หอบหายใจ
groan,คราง
shriek,กรีดร้อง
sigh,ถอนหายใจ
whine,คร่ำครวญ
compassionate,มีความเมตตา
gruesome,น่ากลัว
havrd-hitting,กระแทกแรง
nostalgic,คิดถึงอดีต
sentimental,อ่อนไหว
soothing,ที่ปลอบประโลม
infect,ติดเชื้อ
naval,เกี่ยวกับกองทัพเรือ
trench,สนามเพลาะ
warfare,การทำสงคราม
recur,เกิดขึ้นซ้ำ
tranquil,สงบ
blest,blessed
shed away,remove
glossary,ศัพท์เฉพาะ
knonk-kneed,เข่าชนกัน
hag,แม่มด
sludge,โคลน
distant,ห่างไกล
trudge,เดินฝ่าฟัน
limped,เดินกะโผลกกะเผลก
shod,สวมรองเท้า
wander,เดินเตร่
ecstasy,ความปิติยินดี
fumbling,งุ่มง่าม
stumbling,สะดุด
flound,ดิ้นรน
misty,มีหมอก
pane,บานหน้าต่าง
gutter,รางน้ำ
plunge,พุ่งลง
chock,สำลัก
smother,ทำให้หายใจไม่ออก
flung,ขว้าง
writhing,ดิ้นรน
gargle,กลั้วคอ
froth-corrupt,ฟองที่เน่าเสีย
incurable,รักษาไม่ได้
sore,เจ็บปวด
desperate,สิ้นหวัง
evoke,กระตุ้น
decode,ถอดรหัส
implication,นัย
involuntarily,โดยไม่ตั้งใจ
befit,เหมาะสม
confront,เผชิญหน้า
genuine,ของแท้
neglect,ละเลย
inadvertently,อย่างไม่ได้ตั้งใจ
protagonist,ตัวเอก
stumble across,พบโดยบังเอิญ
irrational,ไร้เหตุผล
rule out,ตัดออก
ineviably,อย่างหลีกเลี่ยงไม่ได้
astronomer,นักดาราศาสตร์
gratefully,อย่างขอบคุณ
duly,ตามสมควร
envisage,คาดการณ์
conventional,ตามธรรมเนียม
snag,อุปสรรค
bifurcate,แยกออกเป็นสองส่วน
twig,กิ่ง
bizarre,แปลกประหลาด
deliberately,อย่างตั้งใจ
outbreak,การระบาด
breakout,การหลบหนี
uprise,การลุกฮือ
showdown,การเผชิญหน้า
overthrow,การโค่นล้ม
breakdown,การพังทลาย
downfall,ความพินาศ
downpour,ฝนตกหนัก
prescribe,กำหนด
persecute,กดขี่
confer,มอบหมาย
drop-out,คนที่ออกกลางคัน
outlook,มุมมอง
cutback,การลดงบประมาณ
setback,อุปสรรค
mix-up,ความสับสน
upkeep,การบำรุงรักษา
upturn,การปรับตัวดีขึ้น
write-off,การตัดบัญชี
stand-off,การประจันหน้า
offshoot,สาขาย่อย
walkover,ชัยชนะง่าย ๆ
takeover,การเข้าควบกิจการ
takeaway,ข้อสรุป
getaway,การหลบหนี
break down,พังลง
fall down,ล้มลง
pour down,ฝนตกลงมา
drop out,ออกจาก
look out,ระวัง
put out,ดับไฟ
mix up,สับสน
keep up,รักษาระดับ
turn up,ปรากฏตัว
write off,ยกเลิก
standoff,ความตึงเครียด
shoot off,ยิงออกไป
overtake,แซง
pessimistic,มองในแง่ร้าย
flee,หลบหนี
oppressive,กดขี่
substantial,มากมาย
raft,แพ
glacier-hiking,การปีนธารน้ำแข็ง
fascinate,ดึงดูด
exhilarate,ทำให้ตื่นเต้น
trek,เดินทางไกล
altitude,ระดับความสูง
preparatory,เพื่อการเตรียมตัว
pilgrimage,การจาริกแสวงบุญ
expedition,การเดินทางสำรวจ
excursion,การทัศนศึกษา
brainchild,ความคิดริเริ่ม
versatile,อเนกประสงค์
faulty goods,สินค้าที่ชำรุด
overcharge,เรียกเก็บเงินเกิน
workmanship,ฝีมือการทำงาน
recipient,ผู้รับ
submerge,จมอยู่ใต้น้ำ
briskly,อย่างรวดเร็ว
hazardous,อันตราย
brusque,ห้วน
spoilt,เสีย
plumb,วัด
bland,จืดชืด
unbearable,ทนไม่ได้
surcharge,ค่าธรรมเนียมเพิ่มเติม
appalled,ตกใจ
periphrasis,การใช้คำอ้อม
euphemism,การใช้คำแทน
connotation,ความหมายโดยนัย
superdom,ความยิ่งใหญ่
semantic,เชิงความหมาย
obscene,ลามก = น่าบัดสี
sommelier,ผู้เชี่ยวชาญไวน์
culinary,เกี่ยวกับการทำอาหาร
galling,น่าหงุดหงิด
fume,ควัน
perception,การรับรู้
assess,ประเมิน
questionnaire,แบบสอบถาม
tally,การนับคะแนน
coin,สร้างคำ
aftertaste,รสชาติหลังกลืน
cape,แหลม
spectrum,ช่วงกว้าง
mildly,เล็กน้อย
fabulous,ยอดเยี่ยม
substler,ละเอียดอ่อน
dread,ความหวาดกลัว
simultaneously,ในเวลาเดียวกัน
the juny's out,ยังไม่มีข้อสรุป
brag,อวด
repulsive,น่ารังเกียจ
instance,ตัวอย่าง
deconstruct,แยกส่วน
ambience,บรรยากาศ
zero in,มุ่งเป้าไปที่
a mixed bag,สิ่งที่หลากหลาย
distinction,ความแตกต่าง
courgettes,ซูกินี
greasy,มันเยิ้ม
knob,ปุ่ม
sprig,กิ่ง
clove,กลีบ
casserole,หม้อตุ๋น
nostril,รูจมูก
fussy,จู้จี้
mercury,ปรอท
crave,อยาก
cookery,การทำอาหาร
habitual,เป็นนิสัย
deduct,หักออก
industrious,ขยัน
scruffy,รุงรัง
fedora,หมวกปีก
waistcoat,เสื้อกั๊ก
buckle,หัวเข็มขัด
collar,ปกเสื้อ
epaulettes,อินทรธนู
studs,กระดุม
cable-knit,ถักสาย
denim,ผ้าเดนิม
flowery,ลายดอกไม้
spotty,มีจุด
stripy,มีลายทาง
tartan,ลายสก็อต
bangle,กำไล
holdall,กระเป๋าถือ
speculative,เกี่ยวกับการคาดเดา
sleeve,แขนเสื้อ
publicity,การประชาสัมพันธ์
stunt,การแสดงผาดโผน
deduce,อนุมาน
oblige,บังคับ
particularly,โดยเฉพาะอย่างยิ่ง
metropolitan,ในเมืองใหญ่
refurbish,ปรับปรุงใหม่
sterile,ปลอดเชื้อ
venues,สถานที่จัดงาน
tendency,แนวโน้ม
somewhat,ค่อนข้าง
spectacular,น่าตื่นตาตื่นใจ
engross,ทำให้หมกมุ่น
concoction,ส่วนผสมที่คิดค้นขึ้น
soggy,เปียกแฉะ
sorbet,เชอร์เบท
bustling,พลุกพล่าน
cloying,หวานเลี่ยน
cramped,คับแคบ
attentive,เอาใจใส่
hearty,อบอุ่น
insubstantial,ไม่เพียงพอ
intimate,ใกล้ชิด
intrusive,รุกล้ำ
laid back,ผ่อนคลาย
sloppy,หย่อนยาน
stiff,แข็ง
swift,รวดเร็ว
tangy,มีรสเปรี้ยว
endure,อดทน
wholly,ทั้งหมด
poverty,ความยากจน
novella,นวนิยายขนาดสั้น
tragic,น่าเศร้า
migrant,ผู้อพยพ
terrier,พันธุ์สุนัขเทอร์เรียร์
rage,ความโกรธ
poised,เตรียมพร้อม
smash down,ทุบลง
terror,ความหวาดกลัว
bleat,ร้องเหมือนแกะ
cupped,ถือเป็นถ้วย
flop,ตกลง
shrunken,เหี่ยวแห้ง
bust,รูปปั้น
slung,สะพาย
premier,อันดับหนึ่ง
gloomy,มืดมน
granite,หินแกรนิต
deceptive,หลอกลวง
stodgy,หนักและจืดชืด
catapult,เหวี่ยง
linger,อ้อยอิ่ง
thrive,เจริญรุ่งเรือง
residual,ที่เหลือ
preconception,อคติ
flaw,ข้อบกพร่อง
derelict,ถูกทิ้งร้าง
capable,สามารถ
discursive,ฟุ้งซ่าน
overbear,ครอบงำ
tortuous,ซับซ้อน
dimly,อย่างสลัว
glimpse,มองเห็นแวบหนึ่ง
impressionable,อ่อนไหว
reconcile,ประนีประนอม
out of step,ไม่เข้ากัน
ruthlessly,อย่างไร้ความปรานี
pursue,ไล่ตาม
protract,ยืดเยื้อ
stark,ชัดเจน
ranch,ฟาร์มปศุสัตว์
terminally ill,ป่วยระยะสุดท้าย
salute,คำนับ
anguish,ความทุกข์ทรมาน
blunt,ทื่อ
misery,ความทุกข์
backstreet,ตรอกซอย
benevolent,มีความเมตตา
conceit,ความทะนงตัว
idyllic,เงียบสงบ
alchemist,นักเล่นแร่แปรธาตุ
crude,หยาบ
meteor,อุกกาบาต
drastic,รุนแรง
likelihood,ความน่าจะเป็น
prosecute,ดำเนินคดี
eradicate,กำจัด
congestion,ความแออัด
bald,หัวล้าน
exacerbate,ทำให้แย่ลง
deception,การหลอกลวง
exaggeration,การพูดเกินจริง
acquaint,ทำความคุ้นเคย
overhear,ได้ยินโดยบังเอิญ
fastidious,พิถีพิถัน
tempt,ล่อลวง
tolerant,อดทน
cordial,เป็นมิตร
grubby,สกปรก
deposit,เงินฝาก
decent,เหมาะสม
dire,ร้ายแรง
strait,ช่องแคบ
badge,ตราสัญลักษณ์
circulate,หมุนเวียน
counterpart,คู่เทียบ
compatible,ที่เข้ากันได้
selective,เลือกอย่างระมัดระวัง
letting agent,ตัวแทนปล่อยเช่า
tenant,ผู้เช่า
swallow,กลืน
uproar,ความวุ่นวาย
justify,ให้เหตุผล
whatover,อะไรก็ตาม
shudder,ตัวสั่น
faze,ทำให้ลำบากใจ
acquire,ได้รับ
wrestle,ต่อสู้
barb,หนาม
placid,สงบ
lash,เฆี่ยน
trodden,เหยียบ
bushland,พุ่มไม้
perilously,อย่างอันตราย
untether,ปลดปล่อย
cradle,เปล
leap,กระโดด
perceive,รับรู้
voyeuristic,ชอบสอดแนม
irrepressibly,อย่างไม่ย่อท้อ
ebullient,เต็มไปด้วยพลัง
condemn,ประณาม
gladiatorial,เหมือนนักสู้
virtually,เกือบทั้งหมด
agonize,เจ็บปวด
